1765357201	92639.79000000
1765360801	92869.49000000
1765364401	92334.33000000
1765368001	92123.77000000
1765371601	91967.57000000
1765382403	91972.86000000
1765386001	92329.16000000
1765389601	92426.40000000
1765393202	92473.15000000
1765396802	92896.79000000
1765400401	92590.39000000
1765404002	92662.74000000
1765414224	91385.22000000
1765414803	91401.50000000
1765418402	90824.54000000
1765422001	90077.01000000
1765425602	89850.84000000
1765429202	90404.22000000
1765432802	90338.17000000
1765436401	90251.25000000
1765440002	90257.89000000
